"Map","System","plotOrd","Region","Latitude","Longitude","K","L50","TL","Depth","DepthCV","Chla","ChlaCV","SBT","SBTrange","TAI","Trawl","cpue","cpueSD","richness","shannon","evenness","z.value","z.value.l","z.value.u","synchrony","avcvpe","avcvpe.l","avcvpe.u","mvpe","mvpe.l","mvpe.u"
1,"Iceland north",54,"Arctic",66.281,-19,0.2158073,38.36193,3.99534,155,0.2437,0.202523487,1.098929025,2.287503472,0.597098728,9.253415,-1.40538340307866,9581.6026931821,3476.53546075481,31.45,1.6708457496037,0.484658044355441,1.90825118743586,1.77978407464384,2.03671830022787,0.35844214028752,2.10892052807744,1.02462339122851,3.96962815909612,1.34177142524029,0.848412628925485,2.12202234645128
10,"Eastern Scotian Shelf - west",45,"West Atlantic",43.946,-61.335,0.3323693,31.81707,4.114958,95.0472,0.3972,-0.000672377,0.722847419,4.867708333,-0.038740828,13.006717,0.368072642691042,11564.9872694456,2924.88623697263,25.4411764705882,1.60069936435448,0.494515107413337,1.85260382900902,1.66110821850598,2.04409943951207,0.186683604273223,3.67477744215983,3.25285963339942,4.34926949314786,2.19110498133826,1.26877220191537,3.7839267222262
11,"Western Scotian Shelf",44,"West Atlantic",43.218,-65.5,0.2783318,39.70649,4.143406,116.0694,0.2944,0.102033009,0.603087344,7.756321429,0.481720433,12.340553,0.245659357355007,7663.77632494915,2541.85630476286,23.8529411764706,1.62676310165036,0.512834567551362,2.00107913051748,1.86558689106979,2.13657136996516,0.1693374723906,2.49321817200272,2.47248756132431,2.88567549126694,2.40221790339866,1.69838012186009,3.39773810417008
12,"Gulf of Maine east",43,"West Atlantic",43.011,-68.14,0.3211391,24.90699,4.105367,157.6371,0.24,0.737483739,0.972657459,6.628216667,0.163308618,10.782725,0.478439199566833,15647.1004808262,24455.6402759984,22.4117647058824,1.50873444780183,0.485681305282121,2.07459975813392,1.89395433775062,2.25524517851722,0.833561826066483,0.796646828821373,0.540360153722919,1.36107994732546,0.89006708277387,0.529409058121826,1.49642209494512
13,"Gulf of Maine west",42,"West Atlantic",42.588,-69.935,0.3413084,28.03428,3.964495,105.9057,0.5,1.180526021,0.78680327,5.543583333,1.08180517,10.130126,0.373459688671494,18184.7484320838,20139.5280842209,33.4705882352941,2.19057310618158,0.624106285318969,2.04657186571127,1.90871030442925,2.18443342699329,0.472390765240889,1.18484464459568,0.777892233280996,1.65342169082675,1.22629868780907,0.833791005310086,1.80357962864206
14,"Georges Bank",41,"West Atlantic",41.195,-67.295,0.320807,37.74185,4.075194,86.7314,0.4571,0.181048032,0.756609065,9.202805556,1.359436907,9.243469,0.479455692419822,14167.177462594,20675.7323331876,34.7058823529412,2.32823451752994,0.656362769150903,2.04297754848187,1.90144358272249,2.18451151424125,0.723389770739309,0.877604570023066,0.650054842569482,1.31120582056569,0.901401075363623,0.602574003671472,1.34842176017552
15,"Southern New England Shelf",40,"West Atlantic",40.383,-71.355,0.4604269,27.3474,3.987658,63.8571,0.5543,1.068365497,1.23836144,11.46506944,1.75817396,8.095299,-1.06442537771126,18942.5018583081,16595.0874875828,34.6176470588235,2.11414990941367,0.596479309958867,1.96513179720036,1.80791513829986,2.12234845610087,0.534345277820032,1.45614977627465,1.25912357584509,1.95217010837708,1.16070658362245,0.737038500503065,1.82790963069763
16,"Mid-Atlantic Bight",39,"West Atlantic",37.789,-74.29,0.4927283,23.5503,3.918814,55.2029,0.6886,1.106719923,1.495829163,17.33096667,1.555108435,6.081983,0.0781936145386739,21716.9848727889,19612.0290426539,45.3235294117647,2.11834674818815,0.555424603498094,1.96391830041728,1.84989199946776,2.0779446013668,0.483071224421654,1.53513370787914,1.07022074330092,2.20965582044677,1.24840804341358,0.862256374433041,1.80749332689421
17,"Gulf of Mexico",38,"West Atlantic",28.01,-94,0.5424257,18.00848,3.728548,43.8453,0.487,0.784570613,1.537203341,23.14530392,1.833907643,6.340368,0.58268422512386,23902.309000008,8251.59695087222,79.4814814814815,2.33827294906918,0.534376330730992,1.78610618491833,1.6938846847366,1.87832768510006,0.314670137684854,2.23934667175397,1.22380729688226,4.22577043895456,0.986097896767072,0.716352900447739,1.35741624191188
18,"North Sea south",37,"East Atlantic",53.574,2,0.344721,24.88181,3.910417,36.6568,0.3088,1.37900476,1.392304198,7.309,1.089571544,13.837661,0.80254403921425,1159.46670315123,508.773618975998,30.4857142857143,1.21738182586166,0.356443399324857,1.92097166413766,1.78519237526324,2.05675095301209,0.474894938230517,2.51561953073527,1.735056010653,3.43660347018185,1.76693326071881,1.11988537133043,2.7878327798187
19,"North Ireland",36,"East Atlantic",56.386,-9.75,0.4007789,19.69273,3.592865,119.1058,0.2967,-0.193509632,0.823014486,9.855703704,0.282585775,13.521389,-0.288537104554235,3944.35686922517,3191.05759519015,24,1.44965516721136,0.455138568304004,2.1090857688893,1.97487643942994,2.24329509834865,0.445932173024406,1.18937544139769,0.902957034224006,2.44134703745037,1.46856088624571,0.969675274363723,2.22411680861508
2,"Iceland south",53,"Arctic",63.778,-19,0.3019389,30.67047,3.823651,132,0.3477,0.069596032,0.887133994,7.511956656,0.304386853,9.354416,-0.45482658544589,12521.7708746613,3855.29692380873,35.7,2.05510709583915,0.574819710026498,1.73933141076363,1.61700774504559,1.86165507648167,0.358854956759247,2.53287894125661,1.57309405839215,5.42486244412573,0.925699074468162,0.609736468520084,1.40539203526906
20,"Baltic Sea Kattegat",35,"East Atlantic",56.301,11.5,0.3418236,25.6929,3.778178,37.4034,0.3672,2.14443397,0.721054272,8.3685,2.176454816,14.647318,1.07165279196969,2850.09557180705,724.102156332127,17.3157894736842,1.44028836490303,0.505033773628665,1.78023191362415,1.6250043654314,1.9354594618169,0.134823198290153,4.54260570048569,4.19864908929966,6.11407432205213,2.09485678758064,1.30630758073317,3.35941169231343
21,"Baltic Eastern Basin",34,"East Atlantic",55.529,18,0.1991182,44.27348,3.978715,58.2557,0.3021,2.170481106,0.715261356,4.107402778,1.105036056,7.988188,0.352804563670628,2335.57013534608,1343.6595089281,8.70833333333333,0.866122617536025,0.401355934215394,1.78849590225031,1.65990609609574,1.91708570840487,0.719526676785297,1.77929931771225,1.3731249189091,2.87034676978616,1.05404467186729,0.759814698809085,1.4622119998905
22,"Baltic Western Basin",33,"East Atlantic",55.012,12.5,0.2083737,45.35185,4.106553,36.634,0.322,2.622762225,0.539848894,7.341083333,2.407935609,9.722294,1.11988083444463,1678.25750498579,708.278511838576,9.25,1.03231733870012,0.466017208185984,1.79914824210663,1.64226969706147,1.95602678715179,0.504444414455755,2.38170706304382,2.01849601643063,3.27929739024924,1.39041718292282,0.924718157458009,2.09064775788706
23,"North Sea north",32,"East Atlantic",58.589,2,0.3778185,23.85239,3.621078,80.4646,0.4676,0.366136338,1.170360196,8.449517442,1.639755064,14.28754,1.2562776419311,2978.57073561383,1192.49761271398,46.3714285714286,1.54230393211045,0.401900843332287,1.8846089357701,1.76000058773528,2.00921728380492,0.43809937142376,2.83271788570363,2.05560759083343,4.35045178574963,1.52505287011733,0.928201085680409,2.50569223903483
24,"West Ireland",31,"East Atlantic",53.371,-10.75,0.3185559,25.3698,3.815173,119.0079,0.3282,0.607045902,1.321925049,10.15664706,-0.042211853,12.970726,0.166043959273637,13462.8247597358,5077.91335963641,54.1666666666667,2.03090012900847,0.50877102566207,1.90167830716289,1.80508856393137,1.9982680503944,0.326577518209277,2.12426016141723,1.56810111381688,3.23656578622349,1.30188164104908,0.889813038735028,1.90477744595667
25,"Irish Sea",30,"East Atlantic",53.371,-4.75,0.2787813,23.77665,3.511257,46.2107,0.4387,1.153365313,0.725932685,10.47925,1.877631308,14.920392,-0.221786971884313,313.887684211636,64.2158200433691,37,2.52415142002439,0.699208670499085,1.75973086456212,1.6602493490775,1.85921238004674,0.228031434130872,2.83431932936403,2.34823478099108,4.12279494815052,1.42941704666396,1.08762592810172,1.87861749200818
26,"English Channel",29,"East Atlantic",50.524,0,0.2011579,23.16288,3.752863,37.145,0.3552,1.203051162,0.825544986,11.68566667,2.137946271,10.886492,-0.197078709928865,588.770245664654,393.412010268246,29.6538461538462,1.42942586485527,0.421627577837973,1.93785020243584,1.81563696599978,2.06006343887189,0.458331098417177,1.49900969961589,1.13534531801063,3.49723758112125,1.13347425437864,0.75235782743181,1.7076500549277
27,"Celtic Sea",28,"East Atlantic",50.266,-8,0.3269508,22.56748,3.827894,127.2594,0.1778,-0.011711807,0.782618713,10.47360417,0.285648757,9.643808,-0.338283676287844,2976.511644442,1698.87512084124,38.3888888888889,1.75978100916802,0.482152464356909,2.0571534193717,1.95901399628172,2.15529284246167,0.300230271318205,1.3798754499579,1.11199211005836,1.94347906438912,1.53984392370343,1.0990719747161,2.15738310494074
28,"Bay of Biscay",27,"East Atlantic",46.036,-3,0.3313907,20.78449,3.986081,106.9846,0.3773,0.27096258,1.151799297,11.92791339,-0.139533782,9.405627,-0.496898064068577,3942.49558623444,2437.75515931339,40.5555555555556,1.07339674836595,0.289766226419353,1.94926153974719,1.84607448912526,2.05244859036912,0.563443189806241,1.41666650090657,1.00287849929818,2.18257045815521,1.12198233993632,0.77336980913002,1.6277392216087
29,"Cantabric sea",26,"East Atlantic",43.502,-4.4,0.3543345,19.76656,3.923178,135.4735,0.2796,-0.241999906,0.932917129,12.0972125,-0.167855272,10.624033,0.430773466047803,44738.696405793,27943.1888876961,40.4827586206897,1.43045940121662,0.386235144303468,1.9818382724167,1.84794579346929,2.11573075136411,0.443288712441123,1.5866088643382,1.14046086586287,2.52919409351749,1.37633785699757,0.889697788687929,2.12915657506383
3,"Greenland east",52,"Arctic",63.61,-35.5,0.1087563,31.61528,4.037597,295.0909,0.069,-0.490878572,0.897277322,5.201853333,-0.469457692,9.243107,-0.674519753344871,538224.970588235,438036.336037181,17.3235294117647,0.8048589609436,0.282778839779946,2.08686653255036,1.92147042051943,2.2522626445813,0.510865782864333,1.34269104042421,0.95318839560103,2.30397833635488,1.58515904927577,0.925062549817273,2.71628033368901
30,"Galician coast",25,"Upwelling",42.763,-9.15,0.3710568,19.04255,3.90515,143.9738,0.2012,0.446995334,1.502338442,12.63886111,-0.232352486,9.160968,-0.0487838141895932,74356.2090723153,34076.5485019139,28.5172413793103,1.18749169486331,0.353926144425888,1.76675770674002,1.65263643794568,1.88087897553436,0.35769642996354,2.88644433099585,2.42060484703605,3.8151588469797,1.14088783033478,0.762245959986846,1.70761815704272
31,"Portugal north",24,"Upwelling",40.273,-9.5,0.3355115,21.61918,4.016597,110.4254,0.3622,-0.145924543,0.613872813,13.8384375,0.617749916,12.385429,0.625844843599643,1546.41198813189,1060.33139294901,19.4444444444444,0.778704882008049,0.263171832915514,2.00785667883991,1.82543307941305,2.19028027826676,0.660040490214473,1.74009517325599,1.26197289763669,3.06062050238085,1.61802733444865,0.883714757564223,2.96250847076381
32,"Portugal centre",23,"Upwelling",37.754,-9.5,0.2529286,28.19187,3.794689,111.9116,0.3546,-0.303388431,0.692582408,14.63733333,0.447566284,12.161508,0.73602322407644,374.924290793333,258.305122994217,16.2222222222222,1.34013244350308,0.480854941272123,1.95394509045204,1.73261739793169,2.17527278297239,0.415074342222141,1.71963108894804,1.0094253666274,2.29648872697973,1.44040496987248,0.840690352790575,2.46793182572679
33,"Gulf of Cadiz",22,"Upwelling",36.506,-6.75,0.3523692,18.39269,3.661687,79.935,0.5268,0.007539109,1.508694537,15.9206875,0.063678777,10.367137,-0.171670085658477,9177.7959480345,3397.7571337131,44.875,2.58947609499757,0.680344722445688,1.85215023269921,1.76024748899698,1.94405297640144,0.124157214040319,3.26360063684072,2.92112321140252,3.71862599066561,1.9631965830386,1.48389345598001,2.59731640982879
34,"Portugal south",21,"Upwelling",36.502,-8,0.3133092,21.55804,3.885355,92.3122,0.3276,-1.056401576,0.726092092,15.71495833,-0.095410185,9.172592,0.207780542312227,758.216029334857,598.967065099125,11,1.14840934434687,0.478923895206927,2.09539601407515,1.86261844086299,2.3281735872873,0.419117367925254,1.32884776954228,0.770992819302422,2.08318812350962,1.50733198530527,0.903627337961004,2.51436584361327
35,"Mauritania north",20,"Upwelling",20.103,-16.9,0.2593386,14.29707,3.54851,55.1076,0.633,2.01411644,0.579428587,16.644,1.072268313,7.957622,-1.22924616885341,566.282986711357,408.129716598784,24.3571428571429,1.85650734762967,0.584595505554853,2.12944832138447,1.95839374998876,2.30050289278019,0.29763192163886,1.86597047640508,1.61523827110082,2.28076417285706,2.34705049510509,1.5631669897182,3.5240291426357
36,"Mauritania centre",19,"Upwelling",18.402,-16.5,0.263369,14.81707,3.66493,78.9827,0.5347,2.24712071,0.61690926,16.00208333,1.35686555,9.896428,-1.43801722144189,577.060451727846,469.209680431652,11.5384615384615,1.20419485428517,0.493083553437054,2.03252844131528,1.78714612202284,2.27791076060771,0.470457990084439,1.69802862611596,1.37450668074233,2.30610801126398,1.69208365126533,1.00003603676328,2.86304390804382
37,"Mauritania south",18,"Upwelling",16.802,-16.5,0.260666,14.49276,3.507927,62.8242,0.6153,2.241154922,0.842752189,16.782,1.845931948,7.727121,-0.302983883633686,806.788397177615,805.542075713945,15.4615384615385,1.52484536203736,0.559995025746359,2.09848696233741,1.90996142049481,2.28701250418002,0.498269175187915,1.43192206254105,0.944776975971017,1.94959821110883,1.65398544710509,1.08371592808012,2.5243403629601
38,"South Aegean",17,"Mediterranean",37.007,25.5,0.3593062,15.247,3.424716,114.6277,0.3958,-1.831582494,0.565113868,15.6417,-0.273647683,12.021066,-0.675971530159855,1632.17711621933,2111.76396443505,15,1.81656302007739,0.670801087564044,2.18770678113458,1.788438664767,2.58697489750216,0.595316020004729,0.753287411240115,0.400388845675882,1.82474616945373,0.901868241409854,0.392413857234877,2.07272579667559
39,"Crete",16,"Mediterranean",35.754,24.75,0.2921072,15.35394,3.388494,92.4951,0.5281,-2.075840314,0.431362238,15.97965,0.260362262,11.809885,-0.930884200427164,594.774042286,431.422121620305,12,1.75974879637041,0.708175011934773,2.03473907562617,1.65356416368775,2.41591398756459,0.652230075206782,1.24833118298869,0.96884612886279,2.16681632446119,1.21476732883483,0.624205968298054,2.36405888144264
